GlaThiDa_ID,POLITICAL_UNIT,GLACIER_NAME,GLACIER_DB,GLACIER_ID,LAT,LON,SURVEY_DATE,ELEVATION_DATE,AREA,MEAN_SLOPE,MEAN_THICKNESS,MEAN_THICKNESS_UNCERTAINTY,MAXIMUM_THICKNESS,MAX_THICKNESS_UNCERTAINTY,SURVEY_METHOD,SURVEY_METHOD_DETAILS,NUMBER_OF_SURVEY_POINTS,NUMBER_OF_SURVEY_PROFILES,TOTAL_LENGTH_OF_SURVEY_PROFILES,INTERPOLATION_METHOD,INVESTIGATOR,SPONSORING_AGENCY,REFERENCES,DATA_FLAG,REMARKS
2027,CL,DEL POTRO,,,-28.382,-69.609,20130827,20139999,4.28,,67,,132,,GPRa,,542,,7,IDW,"Casassa, Blindow, Rodriguez and others",Geoestudios/DGA CHILE,"Estimacion de Volumenes de Hielo Mediante Sondajes de Radar en Zonas Norte, Central y Sur, Informe DGA,S.I.T No.338",,overlap with RGI3.2-polygon: 17.21762. Point data have been thinned (mean) within a search distance of 10 m.
2028,CL,TRONQUITOS,,,-28.538,-69.731,20130829,20139999,2.37,,39,,91,,GPRa,,516,,7.9,IDW,"Casassa, Blindow, Rodriguez and others",Geoestudios/DGA CHILE,"Estimacion de Volumenes de Hielo Mediante Sondajes de Radar en Zonas Norte, Central y Sur, Informe DGA,S.I.T No.338",,overlap with RGI3.2-polygon: 17.21691. Point data have been thinned (mean) within a search distance of 10 m.
2029,CL,TAPADO,,,-30.145,-69.928,20130830,20139999,1.92,,28,,69,,GPRa,,836,,8.6,IDW,"Casassa, Blindow, Rodriguez and others",Geoestudios/DGA CHILE,"Estimacion de Volumenes de Hielo Mediante Sondajes de Radar en Zonas Norte, Central y Sur, Informe DGA,S.I.T No.338",,overlap with RGI3.2-polygon: 17.21166. Point data have been thinned (mean) within a search distance of 10 m.
2030,CL,JUNCAL NORTE,,,-33.03,-70.1,20131120,20139999,7.86,,59,,206,,GPR,,1469,,23.4,IDW,"Casassa, Blindow, Rodriguez and others",Geoestudios/DGA CHILE,"Estimacion de Volumenes de Hielo Mediante Sondajes de Radar en Zonas Norte, Central y Sur, Informe DGA,S.I.T No.338",,overlap with RGI3.2-polygon: 17.20300. Point data have been thinned (mean) within a search distance of 10 m.
2031,CL,RIO BLANCO,,,-33.048,-70.147,20131120,20139999,13.27,,56,,185,,GPRa,,1871,,26.4,IDW,"Casassa, Blindow, Rodriguez and others",Geoestudios/DGA CHILE,"Estimacion de Volumenes de Hielo Mediante Sondajes de Radar en Zonas Norte, Central y Sur, Informe DGA,S.I.T No.338",,"overlap with RGI3.2-polygon: 17.20197,17.20192,17.20186,17.20156. Point data have been thinned (mean) within a search distance of 10 m."
2032,CL,TUPUNGATITO,,,-33.404,-69.823,20131006,20139999,7.31,,122,,300,,GPRa,,1685,,15.5,IDW,"Casassa, Blindow, Rodriguez and others",Geoestudios/DGA CHILE,"Estimacion de Volumenes de Hielo Mediante Sondajes de Radar en Zonas Norte, Central y Sur, Informe DGA,S.I.T No.338",,overlap with RGI3.2-polygon: 17.19862. Point data have been thinned (mean) within a search distance of 10 m.
2033,CL,MARMOLEJO,,,-33.738,-69.915,20131006,20139999,8.03,,46,,146,,GPRa,,1544,,29.5,IDW,"Casassa, Blindow, Rodriguez and others",Geoestudios/DGA CHILE,"Estimacion de Volumenes de Hielo Mediante Sondajes de Radar en Zonas Norte, Central y Sur, Informe DGA,S.I.T No.338",,overlap with RGI3.2-polygon: 17.19698. Point data have been thinned (mean) within a search distance of 10 m.
2034,CL,TINGUIRIRICA 3,,,-34.782,-70.31,20131017,20139999,3.57,,34,,122,,GPRa,,,,13.3,IDW,"Casassa, Blindow, Rodriguez and others",Geoestudios/DGA CHILE,"Estimacion de Volumenes de Hielo Mediante Sondajes de Radar en Zonas Norte, Central y Sur, Informe DGA,S.I.T No.338",,"overlap with RGI3.2-polygon: 17.01872,17.01870,1701940"
2035,CL,TINGUIRIRICA 4,,,-34.787,-70.29,20131017,20139999,2.05,,31,,79,,GPRa,,,,10.4,IDW,"Casassa, Blindow, Rodriguez and others",Geoestudios/DGA CHILE,"Estimacion de Volumenes de Hielo Mediante Sondajes de Radar en Zonas Norte, Central y Sur, Informe DGA,S.I.T No.338",,overlap with RGI3.2-polygon: 17.01868
2036,CL,TINGUIRIRICA 1,,,-34.816,-70.328,20131017,20139999,4.23,,59,,190,,GPRa,,,,15.6,IDW,"Casassa, Blindow, Rodriguez and others",Geoestudios/DGA CHILE,"Estimacion de Volumenes de Hielo Mediante Sondajes de Radar en Zonas Norte, Central y Sur, Informe DGA,S.I.T No.338",,overlap with RGI3.2-polygon: 17.01936
