"date","year","month","day","8130002"
1979-01-01,"1979","01","01",5.345
1979-02-01,"1979","02","01",4.859
1979-03-01,"1979","03","01",NA
1979-04-01,"1979","04","01",1.896
1979-05-01,"1979","05","01",12.168
1979-06-01,"1979","06","01",7.587
1979-07-01,"1979","07","01",43.565
1979-08-01,"1979","08","01",57.803
1979-09-01,"1979","09","01",29.26
1979-10-01,"1979","10","01",11.864
1979-11-01,"1979","11","01",19.177
1979-12-01,"1979","12","01",19.287
1980-01-01,"1980","01","01",5.354
1980-02-01,"1980","02","01",9.748
1980-03-01,"1980","03","01",9.325
1980-04-01,"1980","04","01",33.638
1980-05-01,"1980","05","01",63.039
1980-06-01,"1980","06","01",68.907
1980-07-01,"1980","07","01",40.048
1980-08-01,"1980","08","01",26.11
1980-09-01,"1980","09","01",10.928
1980-10-01,"1980","10","01",10.167
1980-11-01,"1980","11","01",8.432
1980-12-01,"1980","12","01",6.882
1981-01-01,"1981","01","01",5.746
1981-02-01,"1981","02","01",NA
1981-03-01,"1981","03","01",NA
1981-04-01,"1981","04","01",9.853
1981-05-01,"1981","05","01",74.078
1981-06-01,"1981","06","01",27.264
1981-07-01,"1981","07","01",22.945
1981-08-01,"1981","08","01",18.652
1981-09-01,"1981","09","01",16.35
1981-10-01,"1981","10","01",10.642
1981-11-01,"1981","11","01",9.166
1981-12-01,"1981","12","01",5.304
1982-01-01,"1982","01","01",3.807
1982-02-01,"1982","02","01",3.67
1982-03-01,"1982","03","01",2.928
1982-04-01,"1982","04","01",2.633
1982-05-01,"1982","05","01",25.06
1982-06-01,"1982","06","01",48.483
1982-07-01,"1982","07","01",53.703
1982-08-01,"1982","08","01",35.223
1982-09-01,"1982","09","01",50.183
1982-10-01,"1982","10","01",41.503
1982-11-01,"1982","11","01",19.06
1982-12-01,"1982","12","01",16.306
1983-01-01,"1983","01","01",10.014
1983-02-01,"1983","02","01",6.302
1983-03-01,"1983","03","01",3.953
1983-04-01,"1983","04","01",3.618
1983-05-01,"1983","05","01",8.046
1983-06-01,"1983","06","01",47.086
1983-07-01,"1983","07","01",23.148
1983-08-01,"1983","08","01",18.122
1983-09-01,"1983","09","01",14.86
1983-10-01,"1983","10","01",18.803
1983-11-01,"1983","11","01",12.477
1983-12-01,"1983","12","01",5.042
1984-01-01,"1984","01","01",2.692
1984-02-01,"1984","02","01",2.231
1984-03-01,"1984","03","01",1.942
1984-04-01,"1984","04","01",2.045
1984-05-01,"1984","05","01",13.961
1984-06-01,"1984","06","01",18.25
1984-07-01,"1984","07","01",37.532
1984-08-01,"1984","08","01",13.356
1984-09-01,"1984","09","01",28.58
1984-10-01,"1984","10","01",32.073
1984-11-01,"1984","11","01",21.027
1984-12-01,"1984","12","01",13.509
1985-01-01,"1985","01","01",7.191
1985-02-01,"1985","02","01",3.497
1985-03-01,"1985","03","01",2.641
1985-04-01,"1985","04","01",4.92
1985-05-01,"1985","05","01",32.832
1985-06-01,"1985","06","01",17.17
1985-07-01,"1985","07","01",30.211
1985-08-01,"1985","08","01",8.698
