"date","year","month","day","8130002"
1979-01-01,1979,1,1,19.369377
1979-01-02,1979,1,2,21.122791
1979-01-03,1979,1,3,23.354533
1979-01-04,1979,1,4,24.998374
1979-01-05,1979,1,5,24.485226
1979-01-06,1979,1,6,24.33273
1979-01-07,1979,1,7,23.990375
1979-01-08,1979,1,8,23.334251
1979-01-09,1979,1,9,22.172252
1979-01-10,1979,1,10,20.890212
1979-01-11,1979,1,11,19.485195
1979-01-12,1979,1,12,11.297838
1979-01-13,1979,1,13,17.385654
1979-01-14,1979,1,14,21.319052
1979-01-15,1979,1,15,22.194741
1979-01-16,1979,1,16,20.468746
1979-01-17,1979,1,17,23.143683
1979-01-18,1979,1,18,25.250295
1979-01-19,1979,1,19,24.64436
1979-01-20,1979,1,20,23.534799
1979-01-21,1979,1,21,23.792953
1979-01-22,1979,1,22,22.405178
1979-01-23,1979,1,23,19.795412
1979-01-24,1979,1,24,19.603533
1979-01-25,1979,1,25,20.576163
1979-01-26,1979,1,26,18.376304
1979-01-27,1979,1,27,21.428343
1979-01-28,1979,1,28,24.274177
1979-01-29,1979,1,29,23.525072
1979-01-30,1979,1,30,21.901309
1979-01-31,1979,1,31,21.307608
1979-02-01,1979,2,1,22.26541
1979-02-02,1979,2,2,21.611787
1979-02-03,1979,2,3,18.531804
1979-02-04,1979,2,4,16.566339
1979-02-05,1979,2,5,21.264073
1979-02-06,1979,2,6,19.923515
1979-02-07,1979,2,7,22.492785
1979-02-08,1979,2,8,19.950497
1979-02-09,1979,2,9,18.048938
1979-02-10,1979,2,10,18.725024
1979-02-11,1979,2,11,21.096109
1979-02-12,1979,2,12,20.499077
1979-02-13,1979,2,13,17.359325
1979-02-14,1979,2,14,14.287009
1979-02-15,1979,2,15,21.312254
1979-02-16,1979,2,16,19.736465
1979-02-17,1979,2,17,18.149683
1979-02-18,1979,2,18,20.409974
1979-02-19,1979,2,19,21.110854
1979-02-20,1979,2,20,25.588544
1979-02-21,1979,2,21,27.81192
1979-02-22,1979,2,22,22.901875
1979-02-23,1979,2,23,20.067186
1979-02-24,1979,2,24,20.479723
